wav,int
620.9664,-0.000706638
621.4485,-0.000440095
621.9307,-0.000195811
622.4127,-2.95546E-05
622.8949,1.2326E-05
623.377,-8.44836E-05
623.8591,-0.00029625
624.3412,-0.000566289
624.8234,-0.000832258
625.3054,-0.001048089
625.7876,-0.001205531
626.2697,-0.001333914
626.7518,-0.00148445
627.2339,-0.001701772
627.7161,-0.001999469
628.1981,-0.002351935
628.6803,-0.002702831
629.1624,-0.002993788
629.6445,-0.003182893
630.1266,-0.003263998
630.6088,-0.003262616
631.0908,-0.003222789
631.573,-0.003184275
632.0551,-0.003164868
632.5372,-0.003157763
633.0193,-0.003137204
633.5015,-0.003074171
633.9835,-0.002945347
634.4657,-0.002742376
634.9478,-0.002470096
635.4299,-0.002141961
635.912,-0.001775828
636.3942,-0.001392543
636.8762,-0.001017513
637.3584,-0.000677956
637.8405,-0.000400538
638.3226,-0.000203362
638.8047,-8.75313E-05
639.2869,-3.56839E-05
639.7689,-1.49763E-05
640.2511,6.46119E-06
640.7332,4.8279E-05
641.2153,0.00010644
641.6974,0.000157482
642.1796,0.000168221
642.6616,0.000115454
643.1438,-9.94021E-08
643.6259,-0.000149906
644.108,-0.000287409
644.5901,-0.000369817
645.0723,-0.000372797
645.5543,-0.000303071
646.0365,-0.000193394
646.5186,-9.20035E-05
647.0007,-4.26746E-05
647.4828,-7.04704E-05
647.965,-0.000178688
648.447,-0.00035098
648.9292,-0.000563311
649.4113,-0.00079019
649.8934,-0.001012092
650.3755,-0.001214155
650.8577,-0.001382898
651.3397,-0.001505351
651.8219,-0.001571781
652.304,-0.001577724
652.7861,-0.001527012
653.2682,-0.001430226
653.7504,-0.001300682
654.2324,-0.001147868
654.7146,-0.000976257
655.1967,-0.000786982
655.6788,-0.000583033
656.1609,-0.000374816
656.6431,-0.00018157
657.1252,-2.4651E-05
657.6073,7.97278E-05
658.0894,0.000128778
658.5715,0.000135075
659.0536,0.000121254
659.5358,0.000107765
660.0179,0.000101999
660.5,9.484E-05
660.9821,6.71348E-05
661.4642,3.67789E-06
661.9464,-9.45874E-05
662.4285,-0.000203097
662.9106,-0.000281085
663.3927,-0.000282806
663.8748,-0.000176966
664.3569,4.88092E-05
664.8391,0.000392252
665.3212,0.000848994
665.8033,0.001422419
666.2854,0.002120811
666.7675,0.002943441
667.2496,0.003834416
667.7318,0.004637628
668.2139,0.005140466
668.696,0.005207696
669.1781,0.004889008
